S no,pathname,storyname,Thumbnail,substory1,product1,substory2,product2,substory3,product3,substory4,product4,substory5,product5,substory6,product6,substory7,product7
3,,Top - Viscose ,https://cdn.shopify.com/s/files/1/0588/1030/2617/files/1L9A0752.jpg?v=1695471141,https://drive.google.com/file/d/1S2faQWZvFjfFf78zu6sHEM0VTRpJn0CS/view?usp=drivesdk,viscose-top-collar-neck-black,,,,,,,,,,,,
,/products/polyester-blend-top-round-neck-with-zip-magenta-pink,,,,,,,,,,,,,,,,
3,,Top -Viscose blend,https://cdn.shopify.com/s/files/1/0588/1030/2617/files/1L9A0752.jpg?v=1695471141,https://drive.google.com/file/d/13YH0yJoQ_tkhc8tEwo2F6auJ_jelMgNx/view?usp=drivesdk,"polyester-blend-top-round-neck-with-zip-magenta-pink                  ,             polyester-blend-top-round-neck-with-zip-mustard-yellow
",,,,,,,,,,,,
,/products/polyester-blend-top-round-neck-bottle-green,,,,,,,,,,,,,,,,
3,,Top - Polyester blend,https://cdn.shopify.com/s/files/1/0588/1030/2617/files/1L9A0752.jpg?v=1695471141,https://drive.google.com/file/d/1ZfaTtr9ljv9kQZeTJGdQXCdUIApNLNPk/view?usp=drivesdk,polyester-blend-top-round-neck-bottle-green         ;                          polyester-blend-top-round-neck-maroon,,,,,,,,,,,,
,/products/polyester-v-neck-dress-matte-pink,,,,,,,,,,,,,,,,
4,,Dress - Polyester ,https://cdn.shopify.com/s/files/1/0588/1030/2617/files/1L9A0752.jpg?v=1695471141,https://drive.google.com/file/d/141LYwBZOU3MXHOz_cB2AMB3j_3b-StHf/view?usp=drivesdk,polyester-v-neck-dress-matte-pink,,,,,,,,,,,,
,/products/linen-collared-neck-dress-brown,,,,,,,,,,,,,,,,
4,,Dress - Linen ,https://cdn.shopify.com/s/files/1/0588/1030/2617/files/1L9A0752.jpg?v=1695471141,https://drive.google.com/file/d/1yfqDE0iE6XDWIkZl-MmUnS--0iHAznh7/view?usp=drivesdk,/linen-collared-neck-dress-brown,,,,,,,,,,,,
,/products/nylon-round-neck-dress-black,,,,,,,,,,,,,,,,
4,,Dress - Nylon,https://cdn.shopify.com/s/files/1/0588/1030/2617/files/1L9A0752.jpg?v=1695471141,https://drive.google.com/file/d/1sJYzeETLjsPnWexngX10UXSrtCUpfACz/view?usp=drivesdk,nylon-round-neck-dress-black,,,,,,,,,,,,
,/products/polyester-floral-printed-dress-black,,,,,,,,,,,,,,,,
4,,Dress - Polyester ,https://cdn.shopify.com/s/files/1/0588/1030/2617/files/1L9A0752.jpg?v=1695471141,https://drive.google.com/file/d/1l3XnBkIlLkgYBGEG4OdB4Ocva-E84Xhk/view?usp=drivesdk,polyester-floral-printed-dress-black,,,,,,,,,,,,
,/products/rayon-plus-size-palazzo-pants-peach,,,,,,,,,,,,,,,,
5,,BOTTOM - Rayon ,https://cdn.shopify.com/s/files/1/0588/1030/2617/files/1L9A0752.jpg?v=1695471141,https://drive.google.com/file/d/1RJy19XXlVniNlY6eycAC58XgtipY5j9y/view?usp=drivesdk,"rayon-plus-size-palazzo-pants-peach             ,                   rayon-plus-size-palazzo-pants-denim-blue",,,,,,,,,,,,
,/products/satin-luxury-robe-with-long-gown-cherry,,,,,,,,,,,,,,,,
1,,Nighty -Satin ,https://cdn.shopify.com/s/files/1/0588/1030/2617/files/1L9A0752.jpg?v=1695471141,https://drive.google.com/file/d/1e1ZrUMnOB6ET1x3U-g_lA_P5-K3DYAqU/view?usp=drivesdk,"satin-luxury-robe-with-long-gown-cherry ,               satin-designer-grey-blue-nighty",,,,,,,,,,,,
,/products/denim-designer-nighty-spiral-puff-dark-blue,,,,,,,,,,,,,,,,
2,,Nighty - DENIM,https://cdn.shopify.com/s/files/1/0588/1030/2617/files/1L9A0752.jpg?v=1695471141,https://drive.google.com/file/d/1HUI-wmm0ZSY0IGQg5nZ0WNNl_9GNyWHM/view?usp=drivesdk,"denim-designer-nighty-spiral-puff-dark-blue                       ,                        denim-designer-nighty-flower-embroidery-sky-blue",,,,,,,,,,,,
,/products/alpine-designer-maxi-rama-blue-nighty,,,,,,,,,,,,,,,,
3,,Nighty - Alpine,https://cdn.shopify.com/s/files/1/0588/1030/2617/files/1L9A0752.jpg?v=1695471141,https://drive.google.com/file/d/1-xdU4KTWeNGr07yB3kRcEPBxJKY3zTYY/view?usp=drivesdk,"alpine-designer-maxi-rama-blue-nighty            ,                      alpine-designer-nighty-navy-blue-1",,,,,,,,,,,,
,/products/crush-designer-nighty-peach,,,,,,,,,,,,,,,,
4,,Nighty - Crush ,https://cdn.shopify.com/s/files/1/0588/1030/2617/files/1L9A0752.jpg?v=1695471141,https://drive.google.com/file/d/16sMn2yWzv28Rag2cQW02vxY1P_lV1qfW/view?usp=drivesdk,crush-designer-nighty-peach,,,,,,,,,,,,
,/products/rayon-maternity-feeding-dress-purple,,,,,,,,,,,,,,,,
1,,Feeding Dress - Rayon,https://cdn.shopify.com/s/files/1/0588/1030/2617/files/1L9A0752.jpg?v=1695471141,https://drive.google.com/file/d/1ImP6oE10sxEFNkPyzwlHdoihBrpGodlG/view?usp=drivesdk,rayon-maternity-feeding-dress-purple,,,,,,,,,,,,
,/products/maroon-hosiery-cotton-maternity-feeding-top,,,,,,,,,,,,,,,,
2,,Feeding Dress - Hosiery cotton,https://cdn.shopify.com/s/files/1/0588/1030/2617/files/1L9A0752.jpg?v=1695471141,https://drive.google.com/file/d/1ImP6oE10sxEFNkPyzwlHdoihBrpGodlG/view?usp=drivesdk,maroon-hosiery-cotton-maternity-feeding-top,,,,,,,,,,,,
,/products/rayon-round-neck-pyjama-set-dark-red,,,,,,,,,,,,,,,,
1,,CO ORDS - Rayon ,https://cdn.shopify.com/s/files/1/0588/1030/2617/files/1L9A0752.jpg?v=1695471141,https://drive.google.com/file/d/1qP7HmIbfB0EUEAiEzAb51PMcnqFnFTBM/view?usp=drivesdk,"rayon-round-neck-pyjama-set-dark-red                 ,                          rayon-co-ords-set-dark-blue",,,,,,,,,,,,
,/products/viscose-blend-house-coat-navy-blue,,,,,,,,,,,,,,,,
2,,House coat - Viscose Blend,https://cdn.shopify.com/s/files/1/0588/1030/2617/files/1L9A0752.jpg?v=1695471141,https://drive.google.com/file/d/1L8eHDpxS6T-1EOpdvLQMyX2v_fvX0HYx/view?usp=drivesdk,viscose-blend-house-coat-navy-blue,,,,,,,,,,,,
,/products/peach-hosiery-cotton-winter-track-suit,,,,,,,,,,,,,,,,
1,,Joggers - Hosiery Cotton,https://cdn.shopify.com/s/files/1/0588/1030/2617/files/1L9A0752.jpg?v=1695471141,https://drive.google.com/file/d/1Yf6ubyhYufZ5kDOrZEc3pQv_g3HuTqx0/view?usp=drivesdk,/peach-hosiery-cotton-winter-track-suit,,,,,,,,,,,,
